2020-11-26-22:09|INFO  |member.py:26 |{'json': {'department': [1, 2], 'mobile': 13172667777, 'name': 'tongtongtong1234', 'userid': 'tongtongtong1234'}, 'method': 'post', 'params': 'access_token=Bzj0sL9d4hJMuoGIfcYkeJM_2nMapDH-SRkQBWI4UT5LIyui477YAzOGKoDSrOPk6AISTatVQY5bysvmk-r3b-7BNAOgcasdAbP2f3JvEuVUHPJ2Fb_vdF66C9EwgBT26zsnalwL3qiiW9abyxwjiexXTs7FYq41mnVjh2gk3syzoRCV2F6dqb_puXpBzMzdyLiM9YZioZ6AEAIK25tYfQ', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/create'}
2020-11-26-22:09|INFO  |base_api.py:17 |响应值：{'errcode': 0, 'errmsg': 'created. Warning: wrong json format. '}
2020-11-26-22:09|INFO  |test_member.py:52 |--------------执行删除联系人--------------
2020-11-26-22:09|INFO  |base_api.py:33 |{'method': 'get', 'params': 'access_token=Bzj0sL9d4hJMuoGIfcYkeJM_2nMapDH-SRkQBWI4UT5LIyui477YAzOGKoDSrOPk6AISTatVQY5bysvmk-r3b-7BNAOgcasdAbP2f3JvEuVUHPJ2Fb_vdF66C9EwgBT26zsnalwL3qiiW9abyxwjiexXTs7FYq41mnVjh2gk3syzoRCV2F6dqb_puXpBzMzdyLiM9YZioZ6AEAIK25tYfQ&userid=tongtongtong1234', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/delete?'}
2020-11-26-22:09|INFO  |base_api.py:17 |响应值：{'errcode': 0, 'errmsg': 'deleted'}
2020-11-26-22:09|INFO  |test_member.py:56 |--------------结束删除联系人--------------
2020-11-26-22:09|INFO  |test_member.py:52 |--------------执行删除联系人--------------
2020-11-26-22:09|INFO  |base_api.py:33 |{'method': 'get', 'params': 'access_token=Bzj0sL9d4hJMuoGIfcYkeJM_2nMapDH-SRkQBWI4UT5LIyui477YAzOGKoDSrOPk6AISTatVQY5bysvmk-r3b-7BNAOgcasdAbP2f3JvEuVUHPJ2Fb_vdF66C9EwgBT26zsnalwL3qiiW9abyxwjiexXTs7FYq41mnVjh2gk3syzoRCV2F6dqb_puXpBzMzdyLiM9YZioZ6AEAIK25tYfQ&userid=tongtongtongtong', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/delete?'}
2020-11-26-22:09|INFO  |base_api.py:17 |响应值：{'errcode': 60111, 'errmsg': 'userid not found, hint: [1606399782_53_40c29b03d2f6d9251a969802e80ffe4e], from ip: 112.97.51.209, more info at https://open.work.weixin.qq.com/devtool/query?e=60111'}
2020-11-26-22:09|INFO  |test_member.py:56 |--------------结束删除联系人--------------
2020-11-26-22:09|INFO  |test_member.py:52 |--------------执行删除联系人--------------
2020-11-26-22:09|INFO  |base_api.py:33 |{'method': 'get', 'params': 'access_token=Bzj0sL9d4hJMuoGIfcYkeJM_2nMapDH-SRkQBWI4UT5LIyui477YAzOGKoDSrOPk6AISTatVQY5bysvmk-r3b-7BNAOgcasdAbP2f3JvEuVUHPJ2Fb_vdF66C9EwgBT26zsnalwL3qiiW9abyxwjiexXTs7FYq41mnVjh2gk3syzoRCV2F6dqb_puXpBzMzdyLiM9YZioZ6AEAIK25tYfQ&userid=?<>$%^&*', 'url': 'https://qyapi.weixin.qq.com/cgi-bin/user/delete?'}
2020-11-26-22:09|INFO  |base_api.py:17 |响应值：{'errcode': 60111, 'errmsg': 'userid not found, hint: [1606399782_53_f565b5da6e5245f775747b5f43cf13eb], from ip: 112.97.51.209, more info at https://open.work.weixin.qq.com/devtool/query?e=60111'}
2020-11-26-22:09|INFO  |test_member.py:56 |--------------结束删除联系人--------------
